household_email	appliance_number	manufacturer_name	model	appliance_type	air_handler_types	eer	energy_source	hspf	seer	energy_source	capacity	temperature	btu
aacey@rundofase.com	1	Frorobex Holdings Group		Air Handler	heatpump			18.7	44.0				5511
aacey@rundofase.com	2	Barvenadower Holdings	Supweraquower	Water Heater						Gas	38.6	149	5200
aacey@rundofase.com	3	Qwierover	Emquestower	Air Handler	heater		Electric						6472
aacey@rundofase.com	4	Monpebinin WorldWide	Unhupan	Air Handler	air_conditioner	7.1							4718
aacuff@rantouch.com	1	Haptanazz International	Supbanexex	Air Handler	heater,heatpump		Electric	20.4	44.9				7940
aacuff@rantouch.com	2	Zeenipentor	Endcadicazz	Air Handler	heater		Gas						3948
aacuff@rantouch.com	3	Montanewor Inc		Air Handler	heatpump,air_conditioner	1.9		17.0	58.5				7498
aalbares@cancity.com	1	Montanex International	Zeezapedgantor	Air Handler	heatpump			23.4	48.5				3719
aamyot@ontomedia.com	1	Mondudower WorldWide	Inhupistor	Air Handler	air_conditioner	2.1							6741
aaquas@bioholding.com	1	Endmunicator	Frodudupantor	Air Handler	heatpump			17.5	39.6				16716
aarceo@fasehatice.com	1	Barsipicar Holdings Inc	Winkilex	Air Handler	heatpump,heater,air_conditioner	5.1	Electric	25.0	30.9				9417
aarceo@fasehatice.com	2	Refropefex WorldWide Group		Water Heater						Thermosolar	35.8	205	4636
aarceo@fasehatice.com	3	Rewerpan WorldWide Company	Cipwerponin	Water Heater						Electric	18.0		4756
aarceo@fasehatice.com	4	Parvenollazz WorldWide Group	Frojubonex	Air Handler	air_conditioner	1.1							3474
aarceo@fasehatice.com	5	Qwikilentor	Winerimazz	Air Handler	air_conditioner	1.3							3874
aarceo@fasehatice.com	6	Thrutanazz Company		Air Handler	air_conditioner	3.0							3582
aarceo@zoomit.com	1	Thrujubepazz International Company		Air Handler	air_conditioner	3.9							6701
aarceo@zoomit.com	2	Unroban Holdings Company	Lomquestazz	Air Handler	heater,heatpump		Electric	22.4	36.3				9353
aarceo@zoomit.com	3	Unvenistor WorldWide	Winquestewistor	Air Handler	heater		Gas						4041
aaredondo@plexzap.com	1	Zeedimantor International	Untinilan	Air Handler	heatpump			22.1	41.1				1919
aaredondo@plexzap.com	2	Grofropedgax WorldWide	Supglibackazz	Water Heater						Heat Pump	21.0	103	2648
aaredondo@plexzap.com	3	Parwerupor Corp.	Suptinicator	Air Handler	air_conditioner	0.7							2078
aaredondo@plexzap.com	4	Winvenonar International	Dopwerpackazz	Air Handler	heatpump			21.3	34.6				774
aarias@goodsilron.com	1	Hapjubex Inc	Tipwerewover	Water Heater						Gas	69.8		17200
aarias@singletechno.com	1	Emwericator WorldWide Company		Water Heater						Thermosolar	14.0	124	8060
aarias@singletechno.com	2	Monkilower Direct		Air Handler	heatpump			22.4	62.6				4879
aarias@singletechno.com	3	Varerax Holdings Corp.		Air Handler	heater		Electric						5691
aasar@fasehatice.com	1	Endhupover Direct	Surtinplistor	Air Handler	heater		Electric						3618
aasar@fasehatice.com	2	Lomwerpar WorldWide Inc	Qwitinommentor	Air Handler	air_conditioner	1.1							3998
aasar@fasehatice.com	3	Parquestan WorldWide	Doprobaquan	Air Handler	heater		Gas						4435
aasar@fasehatice.com	4	Klifropedin International	Zeenipanex	Air Handler	heatpump			22.4	49.7				3661
aasar@fasehatice.com	5	Tupericover Holdings	Varrobin	Air Handler	air_conditioner,heater,heatpump	1.4	Gas	23.2	43.3				5445
aasar@fasehatice.com	6	Uprobax International Group	Gromunor	Air Handler	air_conditioner,heatpump	1.3		23.1	54.7				4984
aauber@cancity.com	1	Thrusapentor WorldWide	Cipmunower	Air Handler	air_conditioner,heater	15.6	Electric						10937
aauber@cancity.com	2	Emsapower Corp.		Air Handler	heatpump			21.8	44.0				6445
aauber@cancity.com	3	Repebilover	Tupsipilicator	Air Handler	air_conditioner	1.8							7813
aauffrey@golddex.com	1	Parquestor Corp.	Monvenentor	Air Handler	heatpump,heater,air_conditioner	5.7	Gas	21.0	30.5				8465
aauffrey@kinnamplus.com	1	Qwiquestentor Company		Air Handler	air_conditioner,heater,heatpump	1.3	Electric	26.3	49.6				6479
aauffrey@rundofase.com	1	Winpickentor WorldWide Group	Qwimunackax	Air Handler	heatpump,air_conditioner	9.6		19.4	44.9				11153
aauffrey@rundofase.com	2	Parwerentor International		Air Handler	air_conditioner	3.4							3229
aauffrey@rundofase.com	3	Tiphupantor WorldWide Inc	Winglibedgentor	Air Handler	heater		Electric						6027
abachman@yearin.com	1	Adcadimin International	Zeenipedistor	Air Handler	air_conditioner	3.0							8676
abarfield@dambase.com	1	Zeewerar Holdings	Klimunover	Air Handler	air_conditioner	2.9							5753
abarfield@dambase.com	2	Barsapover Direct	Hapwerpupax	Air Handler	heater		Electric						6467
abarfield@dambase.com	3	Emdimar Direct	Adnipedicator	Air Handler	heater		Electric						4835
abarfield@finjob.com	1	Frobanan Holdings Group	Unweropin	Water Heater						Electric	41.7	176	7014
abarfield@finjob.com	2	Barglibedgover	Parerower	Air Handler	heater		Gas						5980
abarfield@finjob.com	3	Dopsipantor International	Cippebantor	Air Handler	heatpump			22.8	31.6				7111
abarfield@finjob.com	4	Upjubazz Direct Company	Frobanor	Water Heater						Gas	18.5	119	6696
abarfield@finjob.com	5	Inrobadan Direct	Unpickedgower	Air Handler	heatpump			22.3	54.4				6983
abarfield@finjob.com	6	Kliwerpor International Company		Air Handler	air_conditioner,heatpump	8.9		26.2	50.8				9120
abayless@faxquote.com	1	Surzapommor Direct	Qwifropazz	Air Handler	air_conditioner,heater	4.0	Gas						4572
abayless@faxquote.com	2	Unpebewin Direct Corp.	Tupjubedgistor	Air Handler	air_conditioner	1.5							4369
abayless@faxquote.com	3	Happebantor		Air Handler	heater,heatpump		Electric	18.1	52.2				5661
abeech@donware.com	1	Barsipegistor Company	Upzapedgin	Air Handler	air_conditioner	3.9							6516
abeech@donware.com	2	Thruquestegazz Company	Tipzapin	Air Handler	heater		Electric						7585
abeech@donware.com	3	Groerexower WorldWide		Air Handler	air_conditioner	1.9							6270
abennick@labdrill.com	1	Trujubax Corp.	Cipzapover	Air Handler	heater		Gas						5371
abennick@labdrill.com	2	Zeefropicator Direct	Varglibor	Air Handler	heater		Gas						4765
abennick@labdrill.com	3	Grohupefantor International Company		Air Handler	air_conditioner,heatpump	9.3		18.8	36.0				6602
aberlanga@statholdings.com	1	Emtinistor WorldWide Inc	Unglibedar	Water Heater						Thermosolar	39.6		7872
aberlanga@statholdings.com	2	Cipvenar Holdings Group	Advenimentor	Air Handler	heater		Gas						7615
aberlanga@statholdings.com	3	Upbanollar	Tupnipex	Air Handler	heater		Electric						8434
aberray@scottech.com	1	Lombanex WorldWide	Ciperupicator	Water Heater						Heat Pump	28.7	187	8720
aberray@scottech.com	2	Unquestower		Air Handler	heater		Fuel Oil						8520
aberray@scottech.com	3	Monjubin	Rapmunommor	Water Heater						Gas	37.8	103	9327
aberray@scottech.com	4	Klidudazz International		Air Handler	heater		Electric						7603
abevelacqua@zencorporation.com	1	Surericator Holdings	Intumupover	Air Handler	heatpump,air_conditioner	2.2		19.3	31.0				5313
abevelacqua@zencorporation.com	2	Parpickicentor Inc	Endmunackazz	Water Heater						Electric	11.9	187	3940
abevelacqua@zencorporation.com	3	Bartinex Direct	Kliwerewax	Air Handler	heatpump			14.9	31.7				3041
