email	household_type	footage	heating_temp	cooling_temp	postal_code	utilities
aacey@rundofase.com	apartment	1163		72	95335	
aacuff@rantouch.com	townhome	1138	74	75	25420	Gas
aalbares@cancity.com	mobile_home	237	67		81019	Gas
aamyot@ontomedia.com	apartment	479	74	73	47169	Gas
aaquas@bioholding.com	house	777	69		04637	Electric,Gas
aarceo@fasehatice.com	apartment	1852	71		92258	Electric,Steam
aarceo@zoomit.com	house	1244	69	76	73056	Gas
aaredondo@plexzap.com	mobile_home	433		70	96110	Electric,Gas
aarias@goodsilron.com	house	871	72	75	49325	Electric
aarias@singletechno.com	apartment	921	75	74	92869	Electric
aasar@fasehatice.com	apartment	1775	71	73	02670	Electric
aauber@cancity.com	house	1565	72		48859	Gas
aauffrey@golddex.com	townhome	790	69	71	74871	Electric,Gas
aauffrey@kinnamplus.com	house	461	69	75	75138	Electric,Fuel Oil
aauffrey@rundofase.com	apartment	1036	71	71	99330	Electric
abachman@yearin.com	townhome	406	74	72	78474	Electric
abarfield@dambase.com	apartment	835	72	74	71050	Electric,Fuel Oil
abarfield@finjob.com	house	2309	69	74	43733	Gas
abatman@toughzap.com	townhome	91	69	69	62321	Electric
abayless@faxquote.com	apartment	934	74	74	66434	Electric,Gas,Fuel Oil
abeech@donware.com	townhome	1317	78		74462	Gas
abennick@labdrill.com	apartment	1012	68		31321	Electric
aberlanga@statholdings.com	house	1386			14639	Electric
aberray@scottech.com	house	1549		72	92368	Fuel Oil
abevelacqua@zencorporation.com	apartment	738	72	71	93202	Gas,Fuel Oil
abiddy@bioholding.com	apartment	1038	66	72	79938	
abilden@labdrill.com	house	2199	70	73	20142	Electric
abilden@xx-holding.com	condominium	483	73	76	92416	Gas,Steam
abirkner@ron-tech.com	townhome	850	73	74	91202	Electric,Gas,Fuel Oil
ablackwood@codehow.com	condominium	1272	73		47921	Gas
aboord@dambase.com	apartment	458	75	73	29150	Steam
aboord@y-corporation.com	apartment	1067	78	71	88525	Electric
aborgman@konex.com	apartment	816	69	74	79966	
abourbon@fasehatice.com	townhome	688	69	72	10096	Gas
abowley@zoomit.com	apartment	740	74		92271	Gas
abrachle@finjob.com	townhome	1726		72	32561	
abrachle@konmatfix.com	apartment	425	73	75	97841	
abrideau@streethex.com	house	2259		76	44683	Electric
abrossart@faxquote.com	house	233	73	71	36769	Electric,Gas
abrucato@plussunin.com	house	1610		70	74136	
abruschke@dambase.com	house	675		75	30047	Gas
abruschke@plusstrip.com	condominium	2909	77		85306	
abutzen@statholdings.com	condominium	1493	71	75	42337	Gas
abuvens@plusstrip.com	house	997		72	71486	Gas
acaiafa@nam-zim.com	house	2417	72	69	13308	Electric,Gas,Fuel Oil
acaldarera@cancity.com	townhome	1344		73	06853	Fuel Oil
acalvaresi@nam-zim.com	house	3067	71	71	26338	Steam
acalvaresi@ontomedia.com	condominium	1554		73	55127	Gas
acanlas@xx-zobam.com	house	759	73	70	93130	Gas
acantres@dontechi.com	condominium	2190	65	72	05466	
acantres@sonron.com	apartment	1131	74	70	25431	
acentini@groovestreet.com	mobile_home	162	73	74	15960	Electric
achaffins@openlane.com	townhome	489		74	11719	Electric,Gas
achavous@groovestreet.com	apartment	1018	73	74	15380	Electric,Fuel Oil
achavous@xx-holding.com	townhome	835	73	72	30410	Electric
achesterfield@newex.com	condominium	566	73		64658	Fuel Oil
achickering@rundofase.com	townhome	1355			52047	Gas
aclaucherty@toughzap.com	apartment	556	73		65062	Electric
acloney@cancity.com	townhome	756	71	72	17047	Electric,Gas
acolla@zathunicon.com	house	784	73		67344	Steam
acoody@bioplex.com	mobile_home	494	71	69	53449	Electric
acoody@finjob.com	mobile_home	456	71	72	32762	Fuel Oil
acoody@sumace.com	house	113	75	72	30019	Electric,Gas
acork@doncon.com	apartment	1285	74	72	38055	Steam
acoyier@y-corporation.com	house	2769		75	52052	
acronauer@golddex.com	apartment	1429	67	73	97350	Fuel Oil
adallen@finjob.com	apartment	2244	64	74	23181	Electric
adarakjy@plusstrip.com	house	1654	69	75	84029	Gas
adaufeldt@singletechno.com	condominium	936		75	07650	Gas
adegonia@bioholding.com	house	3435	76	74	36558	Electric
adegonia@zathunicon.com	apartment	166	70		19457	Steam
adegroot@isdom.com	house	897	74	71	21856	
adelasancha@faxquote.com	apartment	1031	71	70	84766	Gas
ademesa@bioholding.com	condominium	1047			76210	Electric,Fuel Oil
ademesa@zoomit.com	condominium	701		72	67639	
adenooyer@finhigh.com	apartment	451		68	45208	Gas
adhamer@xx-holding.com	apartment	915	70	75	04354	
adickerson@blackzim.com	apartment	701	76		11566	Electric,Gas
adickerson@plussunin.com	apartment	424	69		76258	Electric,Fuel Oil
adinos@rundofase.com	townhome	1289	74	74	68854	Gas
adiscipio@ganjaflex.com	condominium	53	72	74	04321	Steam
adiscipio@iselectrics.com	townhome	1098	70	71	30357	Electric,Gas,Fuel Oil
adiscipio@warephase.com	condominium	161	69	70	62447	Electric
adopico@scottech.com	house	2378	76		49258	Electric,Gas
aeanes@fasehatice.com	apartment	901	76		68108	Gas,Fuel Oil
aeanes@scottech.com	house	585	69		98336	
aehmann@mathtouch.com	house	2230	71	73	62999	Fuel Oil
aengelberg@dontechi.com	house	1104		72	52248	Gas,Fuel Oil
aengelberg@scottech.com	house	739	71		71720	
aeschberger@yearin.com	house	737	74	69	92507	Electric,Gas
aestell@ganjaflex.com	apartment	778	68		98102	
aestell@zathunicon.com	townhome	927	67		40009	Electric
afallick@kinnamplus.com	townhome	1174	70		72179	Gas
afarrar@donquadtech.com	house	3670	73		18248	Electric
afarrar@green-plus.com	townhome	1117		73	29373	Electric
afarrar@kan-code.com	house	2035	73	71	73756	Steam
afarrow@isdom.com	apartment	431	75	70	36015	Electric,Gas
afarrow@streethex.com	apartment	943	76		84627	Electric,Steam,Fuel Oil
afeichtner@konex.com	townhome	1668	75		48236	Electric,Gas
afelger@betatech.com	townhome	937	75		48725	
afelger@doncon.com	apartment	904	66	76	72631	Gas
afigeroa@dalttechnology.com	townhome	1143	69	72	23190	Electric
aflister@sonron.com	house	799	75	75	59639	Electric
afoller@gogozoom.com	condominium	712	68		80524	Electric
afoller@year-job.com	house	566	72		46947	Electric
afortino@openlane.com	apartment	940	70	72	63822	
afrey@treequote.com	house	612	70	72	24565	Electric
afritz@funholding.com	townhome	595	69		15626	Electric
agabisi@dalttechnology.com	apartment	1233	72	71	04539	Electric,Gas,Fuel Oil
agabisi@ganjaflex.com	apartment	390	66	70	38039	
agato@hatfan.com	house	4790	77		57334	Electric,Gas
agato@ontomedia.com	apartment	2012	74		57717	
agehrett@scotfind.com	townhome	687	73	70	14129	Electric,Gas,Fuel Oil
agellinger@condax.com	apartment	1367	66	73	71259	Electric,Fuel Oil
agellinger@finhigh.com	mobile_home	1017	76		50470	Gas
agesick@rantouch.com	apartment	1012	76		41522	
agiguere@plusstrip.com	house	111	74	70	04471	Electric,Gas,Steam
agillaspie@finhigh.com	mobile_home	584	77	71	34112	
agillian@ron-tech.com	apartment	1001			59106	Gas
agleich@doncon.com	mobile_home	349	78	69	55438	Electric
agleich@finjob.com	house	1334		74	38643	Electric,Gas
aglick@treequote.com	apartment	2147		73	46582	
agobern@ontomedia.com	condominium	1577		71	23514	Gas
agochal@blackzim.com	mobile_home	259	69	74	81045	Electric,Fuel Oil
agochal@toughzap.com	apartment	928	67		21866	Fuel Oil
agood@xx-zobam.com	house	128	69		79960	Electric,Gas
agotter@isdom.com	house	2637	72	74	90280	Electric,Gas
agotter@statholdings.com	townhome	576			92843	Electric,Steam
agrenet@yearin.com	mobile_home	206	71	76	22902	Electric,Gas
agudroe@sunnamplex.com	house	69	77	72	27592	Fuel Oil
ahagele@dontechi.com	house	675	71	74	38333	Gas
ahalsey@faxquote.com	apartment	791		70	55965	Gas
ahalsey@plussunin.com	house	1348		72	01253	
ahalter@sunnamplex.com	house	1604	72	75	12874	Electric,Gas
ahamilton@cancity.com	apartment	513	75		83302	
aharabedian@inity.com	house	1916	68		30477	Electric
aharnos@bioholding.com	townhome	1182	74	74	52309	Electric
aharoldson@zumgoity.com	house	1429	72	72	70397	Electric,Steam
aheintzman@donquadtech.com	house	851	68		57552	Gas
aheintzman@donware.com	house	897	76	70	17931	
ahengel@groovestreet.com	townhome	635	73	74	77720	Electric,Gas
ahochard@hottechi.com	house	1050	71	72	67674	Electric
ahochard@j-texon.com	townhome	1241	75	69	32058	Electric
ahoffis@kan-code.com	house	866	73		44510	Steam
ahollack@codehow.com	house	801	73	74	61106	Gas,Steam,Fuel Oil
ahoogland@zencorporation.com	house	1806	69		21817	Electric
ahoopengardner@iselectrics.com	apartment	834			15225	Gas,Fuel Oil
ahoopengardner@kan-code.com	apartment	2032	72	73	31993	Electric,Gas,Fuel Oil
ahoopengardner@zotware.com	townhome	1224	76		87575	Electric
ahoopengardner@zumgoity.com	house	1912	74	72	45740	Fuel Oil
ahusser@toughzap.com	apartment	937	73	75	58103	Electric
aisenhower@doncon.com	house	861	75		27910	Electric,Fuel Oil
aisenhower@warephase.com	apartment	799		72	88528	
ajacobos@gogozoom.com	townhome	445	75	75	14204	Gas,Fuel Oil
ajacobos@kan-code.com	house	1524	76	71	78880	Electric
ajayson@newex.com	mobile_home	250	72	73	62543	Electric
ajeanty@gogozoom.com	apartment	745	75		61810	Gas
ajeanty@zoomit.com	house	1419	70	75	55051	Electric,Gas,Fuel Oil
ajillson@rantouch.com	townhome	459	73	69	92385	
ajulia@zathunicon.com	apartment	849	68	71	30177	Steam,Fuel Oil
ajurney@silis.com	apartment	2017	75	72	91326	Gas
akampa@finhigh.com	condominium	66	70	73	13201	Electric
akampa@plusstrip.com	house	731		76	23879	Fuel Oil
